"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"CNN1",1.65593892212297e-165,-0.86384385142308,0.009,0.473,3.42994628939331e-161,"0","CNN1"
"CAV1",1.34466137370001e-164,-0.755646395741048,0.436,0.857,2.78519710334484e-160,"0","CAV1"
"C12orf75",5.46785482828857e-161,-0.984993999126905,0.224,0.683,1.13255677058341e-156,"0","C12orf75"
"MFAP4",8.83003362860444e-161,0.956620490454446,0.908,0.604,1.82896486549284e-156,"0","MFAP4"
"FLNA",2.85255545703838e-158,-0.898216714964174,0.305,0.744,5.90849811816359e-154,"0","FLNA"
"F10",3.90255801775371e-153,0.809095085568322,0.667,0.264,8.08336842217326e-149,"0","F10"
"C2orf40",6.54569098269298e-153,-0.937711242840413,0.215,0.701,1.3558089732452e-148,"0","C2orf40"
"NRGN",6.90188275473522e-146,-0.740087899378075,0.003,0.423,1.42958697498831e-141,"0","NRGN"
"SORBS2",1.45964479783385e-145,-0.806272015165095,0.023,0.45,3.02336226975326e-141,"0","SORBS2"
"TSC22D1",1.53878694239514e-138,-0.738669367964761,0.232,0.666,3.18728939378304e-134,"0","TSC22D1"
"SPINT2",1.53467365363686e-136,-0.768845881349469,0.066,0.491,3.17876953877804e-132,"0","SPINT2"
"IGFBP4",1.12644505800978e-133,0.777140014415266,0.798,0.433,2.33320564865566e-129,"0","IGFBP4"
"FILIP1L",4.66832594472162e-121,-1.0051903958518,0.426,0.755,9.66950352930188e-117,"0","FILIP1L"
"RERGL",6.05869404141398e-116,-1.09471433393189,0.007,0.357,1.25493729679808e-111,"0","RERGL"
"ACTG2",6.83366738952914e-105,-0.704953513465614,0.003,0.324,1.41545752639317e-100,"0","ACTG2"
"CSRP2",1.33838031122892e-104,-0.752109735704766,0.129,0.493,2.77218713864846e-100,"0","CSRP2"
"C11orf96",4.54317086144754e-98,-1.38822120123238,0.601,0.83,9.41026980531629e-94,"0","C11orf96"
"NDUFA4L2",1.49220340177353e-96,-1.04655414773406,0.163,0.504,3.09080090609351e-92,"0","NDUFA4L2"
"MYH10",9.26911544822741e-94,-1.00741905782632,0.171,0.497,1.91991188279134e-89,"0","MYH10"
"FHL1",8.27204822301027e-93,-0.96609422289294,0.588,0.8,1.71338934843212e-88,"0","FHL1"
