"Feature","Gain","Cover","Frequency"
"CDC42",0.000409255194941177,0.000285249955627696,0.00100271322401793
"DNAJB1",0.000402806031892632,0.000727782715527713,0.00141559513979002
"MT-CYB",0.000402537483343971,0.0011727689894154,0.00194644331721128
"JUN",0.000401830767072661,0.00053386462652008,0.00123864574731627
"SAMSN1",0.000398071814278803,0.0010181426547336,0.00070779756989501
"RPL12",0.000395938690524843,0.000891178834058449,0.00135661200896544
"RPS11",0.000391232276353933,0.000610445164481834,0.00165152766308836
"SH3BP5",0.000386587029757444,0.000207906481000748,0.000235932523298337
"ICOS",0.000379969301521635,0.000139633407849002,0.000471865046596673
"NACA",0.000371123409004766,0.000799411124269055,0.00129762887814085
"LDHB",0.000366736389155906,0.000572349562733531,0.00117966261649168
"CKLF",0.000365314670096965,0.000490829156084008,0.00106169635484251
"PAK2",0.000364525015973706,0.000443503343698414,0.000589831308245842
"RPSA",0.000361016875676034,0.000543764631306722,0.000943730093193347
"TNFRSF4",0.000357548786873912,0.00135807993429282,0.000353898784947505
"NPM1",0.000357539846158934,0.000316882724106658,0.00129762887814085
"BTG1",0.000357301245371011,0.000983704570044605,0.00171051079391294
"ACTG1",0.000352621907755623,0.000822933769342881,0.0014745782706146
"RPL36",0.000351224757490685,0.000810286216723228,0.000884746962368763
"PTGER4",0.000349700910752526,0.000993546962838573,0.00070779756989501
"S100A10",0.000348230453893645,0.000353687873517436,0.00106169635484251
"TAGLN2",0.000342347499782654,0.000801362363017663,0.00135661200896544
"RPS3",0.000341611598982372,0.00011879434941111,0.00070779756989501
"RPL9",0.000340939700617357,0.000438829797550067,0.00070779756989501
"CD52",0.00033967353546128,0.000584379772513123,0.00153356140143919
"RPLP1",0.000339086428511074,0.00106881368464167,0.00153356140143919
"CYTOR",0.000333155063699472,0.000750576734661623,0.000589831308245842
"AES",0.0003294733426915,0.000362027099987901,0.000648814439070426
"RPL27A",0.000319257013021516,0.000526559788660746,0.0011206794856671
"RPS27A",0.000316849525619723,0.000360180982795957,0.00135661200896544
"DUSP1",0.000315765700167074,0.000825812680025636,0.00171051079391294
"CD74",0.000312460688552372,0.0014852646947705,0.00194644331721128
"PRF1",0.000309683106432617,0.000612069497395793,0.00153356140143919
"SLAMF1",0.000308175069495333,0.000244418816364072,0.000235932523298337
"RPS4X",0.000307304839904166,0.000327759130189328,0.00153356140143919
"HCST",0.000305933603174915,0.000427272587860162,0.00194644331721128
"DNAJA1",0.000302409816626032,0.000394826370572593,0.000884746962368763
"OST4",0.000302117771442277,0.00022588899171721,0.000825763831544178
"SNRPD1",0.000301543385021511,0.000378092213527999,0.000471865046596673
"RPL22",0.000300931709277301,0.000404429682980026,0.00123864574731627
"UBB",0.000299274787629016,0.000368026472612596,0.0011206794856671
"FUS",0.000298664765553633,0.000743927334868775,0.000943730093193347
"CD247",0.000295267657305786,0.00199749648719467,0.00070779756989501
"FOSB",0.000294389613675105,0.000597138170356464,0.00070779756989501
"HOPX",0.000293959441713818,0.000720994634097778,0.0011206794856671
"CNBP",0.000292984976469983,0.000160777415759516,0.00070779756989501
"RPS20",0.000291972004366315,0.000378236087125338,0.00106169635484251
"SEM1",0.000291405922634055,0.000535592673531599,0.000412881915772089
"HNRNPA2B1",0.000290539654579198,0.000187639085535761,0.000884746962368763
"RAC2",0.000289225442166208,0.000280641653028055,0.0014745782706146
"TMSB10",0.00028460759922457,0.000326338315861866,0.00117966261649168
"PPIB",0.000283663717767945,0.000887695779374345,0.00100271322401793
"PRELID1",0.000283349974995402,0.000125392126731695,0.000471865046596673
"DUT",0.000283144411239654,6.11010056012604e-05,0.000471865046596673
