"Feature","Gain","Cover","Frequency"
"MT-CYB",0.00110029876663152,0.00115640487600965,0.00527585167319867
"MT-ND1",0.00108208173807029,0.00253018232126447,0.00542659029243292
"CYTL1",0.00104719242173217,0.00702659976257425,0.00406994271932469
"FN1",0.00103338427888852,0.00128905634988985,0.0069339764847754
"FTL",0.0010215130517651,0.0010586990346154,0.00422068133855894
"PTMA",0.0010158537532084,0.00126369687352029,0.00406994271932469
"GSTP1",0.00101403943041128,0.00273397323616778,0.00271329514621646
"CALM2",0.000990765050285274,0.00107606236807951,0.00361772686162195
"RPLP0",0.000943495947308187,0.00132897506572267,0.00391920410009044
"CD81",0.000916880166775097,0.000845494128582524,0.00301477238468496
"FGL2",0.000883318124317044,0.000970325082318241,0.00406994271932469
"H3F3A",0.00085631908787669,0.00138693620577802,0.0031655110039192
"OMD",0.000837614485749663,0.00101675888793766,0.00391920410009044
"RPS7",0.000828415119794934,0.000663878562545932,0.00391920410009044
"HMCN1",0.000828237438753738,0.000883542027778892,0.0031655110039192
"CP",0.000828228782049467,0.000414369158996742,0.00120590895387398
"ATP5MC2",0.000825360439926271,0.0015859278910017,0.00406994271932469
"RPS27A",0.000825142535814726,0.00172971597084001,0.00527585167319867
"MAP1B",0.000820889208449653,0.00112796918685575,0.00482363581549593
"GMDS",0.000819110212001266,0.000636620888793531,0.00286403376545071
"VCAM1",0.000803638757757212,0.00141436198364297,0.00241181790774797
"RPLP1",0.000798319693910795,0.000604437052885217,0.0034669882423877
"CEBPD",0.000791694167251138,0.000715160328336356,0.00497437443473018
"GADD45B",0.000790726714967779,0.00120427108466991,0.00422068133855894
"PRDM6",0.000767319336385252,0.00179764466754074,0.00226107928851372
"ITGBL1",0.000753260324000661,0.000736005399119398,0.00406994271932469
"NUCKS1",0.000743003178737201,0.000876918701620373,0.00361772686162195
"SEPT7",0.000739897607940401,0.000591071871287192,0.00391920410009044
"PFN2",0.000715236843509205,0.000553603149259276,0.00241181790774797
"COL8A1",0.000689189825935001,0.00124195824956878,0.00331624962315345
"SH3BGRL3",0.000675639285624501,0.000623737463587898,0.0034669882423877
"MT-CO3",0.000659870967632976,0.00210270590649654,0.00271329514621646
"LMNA",0.000594131299589275,0.000944337014775366,0.00391920410009044
"CARMN",0.000579712290725057,0.00279178882805585,0.00241181790774797
"CTSC",0.000576651752278757,0.000916351640393197,0.0031655110039192
"ENPP2",0.000570235910233661,0.00134073777004018,0.00241181790774797
"RPS8",0.000549281570572973,0.00094225012746184,0.00391920410009044
"TINAGL1",0.000512078334671543,0.000717852889017849,0.0034669882423877
"SRP14",0.000510942557582917,0.00233139585091533,0.0037684654808562
"NDUFS5",0.000487005065165623,0.000479115617908406,0.00331624962315345
"MMP2",0.000484672476851189,0.000657426798274103,0.00165812481157673
"CD99",0.00047849473789427,0.000456547369403356,0.00241181790774797
"BTG2",0.000467660566454211,0.00030855807388159,0.00135664757310823
"JUND",0.000465125463724714,0.000488585174664269,0.00271329514621646
"RPL8",0.00046274880491581,0.000948920817084742,0.00422068133855894
"FBLN2",0.000459469837709221,0.000820091711482945,0.00120590895387398
"PI16",0.000447357840533183,0.00233585316302186,0.000602954476936991
"SFRP4",0.000438230570059982,0.000310863826236177,0.000602954476936991
"LTBP1",0.00043685218664813,0.000937853849089545,0.00286403376545071
"ATP5F1E",0.000433710152763643,0.000756085336857271,0.00271329514621646
"ANGPT2",0.000423503548662492,0.00120107127656341,0.00271329514621646
"MYL6",0.000418027221355154,0.000459367787314678,0.00271329514621646
"TSPAN13",0.000410651709316397,0.00364011977887352,0.000301477238468496
"ESD",0.000394116136257959,0.000592872205620534,0.00256255652698221
"DKK3",0.000389925548138484,0.000812772649002114,0.00165812481157673
"ANXA1",0.000355973713524236,0.000603206286324752,0.00271329514621646
"TIMP3",0.000350544167396543,0.000394916163958464,0.00271329514621646
"SELENOW",0.000349626163257276,0.000420535777522047,0.00271329514621646
"CPE",0.000317218938265172,0.000584293106119077,0.00301477238468496
"LTBP2",0.000271264058530657,0.000549132166882887,0.00195960205004522
"GEM",0.000210887874593672,0.000272532148320271,0.00135664757310823
"TGM2",0.000209590877318183,0.000422122332958849,0.00165812481157673
"HES4",0.000192244612648926,0.000624073792433028,0.00135664757310823
"RHOC",0.00017810764620517,0.000474879522933482,0.00195960205004522
"SEM1",0.000149931123101067,0.000227519829629141,0.00165812481157673
"C1QTNF2",0.000144860994153347,0.000229891480725768,0.000602954476936991
"GAPDH",0.000124441829001767,0.000277856477189074,0.00271329514621646
"RNF213",9.20727831359479e-05,0.000297605534086422,0.00105517033463973
"MYO1D",8.6274157547254e-05,0.000111898737728701,0.000602954476936991
"MXRA8",8.02327999382384e-05,0.000150496181773276,0.00135664757310823
"ZNF704",6.41077699868265e-05,7.89829493346267e-05,0.000452215857702743
"MMP23B",6.06255560429696e-05,0.00010488376839048,0.000452215857702743
"KCNK15",3.15255746387022e-05,0.00010808458166388,0.000602954476936991
