"Feature","Gain","Cover","Frequency"
"B2M",0.000822019748082516,0.000456319128465558,0.0016923337282112
"CXCR4",0.000800222969837659,0.00237816810324891,0.00101540023692672
"BGN",0.000797850190592868,0.000855919498721619,0.00321543408360129
"CRISPLD2",0.000786847176147098,0.00302920837238823,0.000507700118463361
"NDUFA4",0.000784771471276291,0.000962575567688184,0.000846166864105602
"CD55",0.000776709290036753,0.00499193369789734,0.00101540023692672
"HSPA1A",0.000756777550496938,0.000893473136352047,0.00118463360974784
"PLAC9",0.000747119279177657,0.000471463248580701,0.00118463360974784
"ARHGAP29",0.000743465885975154,0.00136409042402899,0.00186156710103232
"FTL",0.000737266958655729,0.000307771321472173,0.00101540023692672
"CD3E",0.000733739115841237,0.00322613436911536,0.000338466745642241
"CPE",0.000730357071492039,0.000642205855066594,0.00101540023692672
"CD151",0.000720110867399881,0.000224056617253207,0.000846166864105602
"CD99",0.000709382155934191,0.00350332286449071,0.00118463360974784
"DMD",0.000682640969541094,0.00273329801125586,0.00101540023692672
"MT-CO1",0.000669473872598446,0.000591357383373488,0.00152310035539008
"MT-CO2",0.000665908610844782,0.00127330082829674,0.0016923337282112
"TMSB4X",0.000665187311556798,0.000900662296264963,0.00270773396513793
"PRDM6",0.00063790835100172,0.00207019816614182,0.00135386698256896
"PI16",0.000633476853115089,0.00154836673618212,0.000507700118463361
"PTPRC",0.000624683402409695,0.00112418393363949,0.00118463360974784
"RBMS1",0.000606032092194668,0.000187027083070387,0.00016923337282112
"EGR1",0.000603488281318365,0.000422989703433784,0.0016923337282112
"GGT5",0.000595323382629028,0.000455416048000516,0.000507700118463361
"RSPO2",0.000591442890930565,0.00195509771221344,0.000676933491284481
"RPL5",0.000579636661723063,8.87503234608972e-05,0.000338466745642241
"IFITM3",0.000574855530623544,0.00100428672475448,0.00135386698256896
"TPM1",0.000554596375365975,0.00022660353194022,0.0016923337282112
"SOD3",0.000544257547090505,0.00148105805229888,0.00304620071078017
"SERPINE1",0.0005403124338688,0.000289329988588648,0.000507700118463361
"FAU",0.000538508324028529,0.000242819017112023,0.000507700118463361
"NFIX",0.000531412142244981,4.60488439240894e-05,0.00016923337282112
"PCDH7",0.000529505130321988,0.00186713370494784,0.00135386698256896
"CCL2",0.000520328874021776,0.000607885401255021,0.00135386698256896
"PDLIM2",0.000513397138628799,0.000172891309121253,0.000338466745642241
"ACTN4",0.000505139646528304,0.00144619562138918,0.00152310035539008
"SOD1",0.000500368454834503,0.000629332845011578,0.000846166864105602
"PPP1CB",0.000499993311506013,0.00050837785562984,0.00220003384667456
"DTNBP1",0.000498942165500114,0.0020432042402501,0.00016923337282112
"TPT1",0.000486665460831265,0.000367083735209066,0.000846166864105602
"ENPP2",0.000480169089872008,0.00197275541507274,0.00203080047385344
"RPL7",0.000478745262309933,0.00103378020967438,0.00135386698256896
"CD63",0.000470066314789292,0.000666173761678478,0.00270773396513793
"PLCG2",0.000469219988239913,4.09323065235536e-05,0.00016923337282112
"DOK2",0.000467520872988831,0.00108471961594327,0.000338466745642241
"NOV",0.000466825391537989,0.000883071052351904,0.00220003384667456
"MAP1B",0.000465552809112452,0.000143035022764442,0.000846166864105602
"TMA16",0.000453311184699076,0.000100625256281795,0.00016923337282112
"RPL23A",0.000450996811002433,0.000975853830929905,0.000338466745642241
"CRTAC1",0.000449195286023092,0.000744198906726923,0.00101540023692672
"XBP1",0.00044705609819874,4.94598712975357e-05,0.00016923337282112
"DNAJB6",0.000445109759463031,8.02528372155014e-05,0.000338466745642241
"RPL4",0.000440672107145615,0.00165424772402855,0.00118463360974784
"C7",0.000440464764372473,0.0010339290542923,0.000846166864105602
"ACTB",0.000439281051927469,0.00120348684707983,0.00203080047385344
"TYMP",0.000435721329161512,0.000296651041696631,0.000507700118463361
"ALCAM",0.000434955964149108,0.000294996360320659,0.000338466745642241
"SYNGR1",0.000428437498783334,0.0036594115661019,0.000338466745642241
"COL8A1",0.000426948526571401,0.000954654598162864,0.0025385005923168
"PSIP1",0.000420318235198266,0.000169870750014755,0.000676933491284481
"FGF7",0.000418196833678882,0.000615802798977943,0.000507700118463361
"TCEAL6",0.000417071496009873,0.00413927958777029,0.00016923337282112
"COX7C",0.000413269257898838,0.000563286588336168,0.0016923337282112
"POSTN",0.000410475823309903,0.000457744219067788,0.000676933491284481
"NEXN",0.000406214833928166,0.000462868994303565,0.00236926721949568
"LDHB",0.000404586063820955,0.000285330331107898,0.000338466745642241
"CAVIN1",0.000404031088024931,0.000220301364743025,0.00152310035539008
"DUSP26",0.000394614901240572,0.00122455158099268,0.000507700118463361
"SULT2B1",0.000393706322623805,0.00131665583422354,0.00016923337282112
"RPLP2",0.000393670965418946,0.00025870904374821,0.000507700118463361
"SEPT2",0.000386649775374511,0.000150129412805565,0.000507700118463361
"CYTIP",0.00038575332098639,0.0015081473043267,0.00016923337282112
"SERPINE2",0.000382599975285156,0.000646082490304132,0.000676933491284481
"SBSPON",0.000377315596380361,0.000596970909996265,0.000338466745642241
"LPP",0.000377262699047765,0.00211864890445212,0.000676933491284481
"PRDX4",0.0003760428293219,4.03861171871482e-05,0.00016923337282112
"COL18A1",0.000374721719209624,0.000319707816649546,0.000676933491284481
"RCN3",0.000373830649948439,0.000185176142863532,0.000676933491284481
"ANKRD29",0.000366418807409936,0.00205595897094705,0.000338466745642241
"HRCT1",0.00036116963184923,0.000240101592776161,0.000338466745642241
"GABPB1-AS1",0.000360922039098755,8.35701267338304e-05,0.00016923337282112
"CXCL12",0.000360816275205718,0.00049187021458821,0.000676933491284481
"CHPF",0.000360083805625859,0.000182425620801361,0.00016923337282112
"COL5A1",0.000359965148200327,0.000142716868857498,0.00016923337282112
"RPS20",0.000359581542529507,0.000614489195453807,0.000846166864105602
"FMO2",0.000359529722222299,0.000539878459280258,0.000846166864105602
"GPBP1",0.000357964619701557,0.000158769793104639,0.00016923337282112
"GMDS",0.000356399424864354,0.000415045809963573,0.000507700118463361
"FBLN5",0.000348179259386569,0.00045229420487441,0.00101540023692672
"PARM1",0.000344359481147798,0.000176085188475209,0.00016923337282112
"ZNF331",0.000343444809644554,0.000544584045444568,0.00016923337282112
"ZBTB25",0.000341086431767799,0.00180831513680792,0.00016923337282112
"SLC44A1",0.000339629770317487,5.42426464538085e-05,0.00016923337282112
"SEL1L",0.000339346820362153,3.57893831647374e-05,0.00016923337282112
