"Feature","Gain","Cover","Frequency"
"SVIL",0.000602532850050781,0.00108750205486325,0.00366002440016267
"RPL27",0.000584779850643214,0.000232011279814476,0.000406669377795852
"LMCD1",0.000567881137954146,0.0034324242466874,0.00244001626677511
"GADD45B",0.000563317729164755,0.00326516092248825,0.00325335502236682
"ENPP1",0.000554185676374962,0.00347154649688373,0.000406669377795852
"CST3",0.000531232666519208,0.00215411003775037,0.00203334688897926
"CCDC80",0.000530814348229946,0.00245670225054868,0.00366002440016267
"COX4I2",0.000526551839425739,0.0012912333289982,0.00122000813338756
"CRISPLD1",0.000510135115163643,0.000761571373113262,0.00203334688897926
"MMP14",0.000508741252697063,0.0027854849321648,0.000406669377795852
"ISYNA1",0.000486157100851316,0.000745704149211005,0.00244001626677511
"SARS",0.000483526482107603,7.72369150473393e-05,0.000813338755591704
"PTP4A3",0.000474627421137324,0.00229499892266537,0.000813338755591704
"RPS15A",0.000469669227578639,0.00372780454262266,0.00203334688897926
"ITGB1",0.000466600496462132,0.00120142294403928,0.00366002440016267
"GUCY1B1",0.000464632206699892,0.00126043192875365,0.00366002440016267
"MT-CO2",0.000461738331631113,0.000889722820243549,0.00203334688897926
"ABCC9",0.000460183424102039,0.000685934112542619,0.000406669377795852
"RSPO3",0.000458839819661154,0.000586756297717413,0.000406669377795852
"FHL5",0.000457318517200848,0.0030704066748896,0.000406669377795852
"GUCY1A1",0.000449148347180596,0.00203397350958494,0.00203334688897926
"COL14A1",0.000445264020047909,0.00125250701192407,0.00569337128914193
"PARP9",0.000435790830936885,0.000203884354037905,0.000406669377795852
"ANXA1",0.000427078642070082,0.000853969777099192,0.00366002440016267
"PDE5A",0.00042653198632235,0.00138865713187107,0.00650671004473363
"TMEM130",0.000426056728880962,0.00055302773056918,0.000813338755591704
"CSRP2",0.00042156302318673,0.000572058376980215,0.00325335502236682
"NPTX2",0.000419488982162092,0.0032280830936765,0.000813338755591704
"HSPA1B",0.00041575183924751,0.000182951459106823,0.000813338755591704
"SRI",0.000414790430139918,0.000115342312729343,0.00122000813338756
"ASMTL",0.000404366352202475,0.000211521797945595,0.000813338755591704
"SERPING1",0.000401720451628528,0.000392617229967943,0.00162667751118341
"ABCA10",0.000401407261362259,0.00173963632314288,0.000406669377795852
"AUP1",0.000400503863378571,6.09310451451306e-05,0.000406669377795852
"PLA2G2A",0.000397011578761792,0.00108673085860077,0.00284668564457096
"CFAP36",0.000393465944851865,0.000148121853124943,0.000406669377795852
"SELENOM",0.000387536096129755,0.000385431017104542,0.00244001626677511
"IGFBP6",0.000386721921099421,0.00145461390006337,0.00732004880032534
