"Feature","Gain","Cover","Frequency"
"SERTAD4-AS1",0.00167380171940134,0.000598297686597127,0.000940291490362012
"TSPAN13",0.00167077435446014,0.00262672997576433,0.00235072872590503
"STAT1",0.00149121726603511,0.00836311503182093,0.00188058298072402
"FHL5",0.00141163071732844,0.00279190652858716,0.000470145745181006
"CDH13",0.00133324592866241,0.00340050375246115,0.000470145745181006
"AGT",0.00128981562280023,0.00049300364995424,0.00235072872590503
"PTMA",0.00127412354821175,0.00448345632291763,0.0103432063939821
"PDIA5",0.00122565146158752,0.000140894332408804,0.000470145745181006
"SFRP2",0.00121096265094788,0.00234080703956646,0.00235072872590503
"MFGE8",0.00112277187577543,0.00433879401166821,0.00329102021626704
"CP",0.00111756185260157,0.000964351802962489,0.00188058298072402
"ZFP36",0.00111068008895243,0.00119216786635236,0.00423131170662906
"PRDM6",0.00110034201709735,0.00893639942364904,0.00329102021626704
"ID4",0.00109613785389768,0.00455810345764139,0.00141043723554302
"APOE",0.00109485661554262,0.00153631597669243,0.00329102021626704
"CRISPLD1",0.00108992137166685,0.00145609698083253,0.00329102021626704
"SDK2",0.00106972219769032,0.00612595638528885,0.00141043723554302
"COX4I2",0.00106011031400203,0.002110561654018,0.00141043723554302
"S100A4",0.000996965891514396,0.000586486262917715,0.00423131170662906
"SBSPON",0.000992972505603346,0.000506458005685703,0.000470145745181006
"JUN",0.000974464642139312,0.000490419226766805,0.00282087447108604
"RPLP1",0.000965039372734502,0.00251637102283159,0.00282087447108604
"EDIL3",0.000963332386222805,0.00127924864948739,0.00282087447108604
"FTL",0.000960843396999386,0.00269587776411869,0.00376116596144805
"NBL1",0.000949164378206297,0.00131144675537757,0.0075223319228961
"NEAT1",0.000939567671281565,0.00364686306577864,0.00188058298072402
"ENPP1",0.000935696298561746,0.00373862616458866,0.000940291490362012
"TPM2",0.000867595165065678,0.00125073965488169,0.00517160319699107
"FBLN5",0.000818683701151749,0.000983463782486895,0.000470145745181006
"ATF3",0.000814220534500319,0.000160483991338106,0.000940291490362012
"MT-CO1",0.000814011654307148,0.0020977759681067,0.0075223319228961
"TINAGL1",0.000812805401145717,0.00417225703223873,0.00376116596144805
"CSRP2",0.000804827116329554,0.00131230748086731,0.00376116596144805
"TPM1",0.000800635733562357,0.000284072725023609,0.000940291490362012
"FAM118A",0.000776701627967333,0.00383339459761994,0.000940291490362012
"C1S",0.000775337716189737,0.00107350140171927,0.00141043723554302
"TNXB",0.000751855169234111,0.00384670663537439,0.00376116596144805
"RPS3",0.000749561331223672,0.00303658653625968,0.00141043723554302
"PCDH7",0.000749274420499446,0.00139011876954716,0.000470145745181006
"CLU",0.000725595474241731,0.000560867438857266,0.00282087447108604
"AK2",0.000712048715059791,0.000168382464748219,0.000470145745181006
"CYTL1",0.00070537243680145,0.00160398294533382,0.000940291490362012
"RPS2",0.000703757409495256,0.000315879979420024,0.00141043723554302
"RWDD1",0.000700824799479168,0.00671728765726847,0.00235072872590503
"CST3",0.000693446046747088,0.00160814696636198,0.00376116596144805
"IRF7",0.000686312768180836,0.000111973219959483,0.000940291490362012
"IGFBP2",0.000681117172917067,0.0016496661637529,0.00517160319699107
"TAGLN",0.000679708879090779,0.000772046747658341,0.00423131170662906
"POLR2J",0.000661159479221219,9.13909183192245e-05,0.000470145745181006
"ANXA1",0.000657979947255937,0.000144555388768183,0.00141043723554302
"PLN",0.000648529765992524,0.000176058358110444,0.000470145745181006
"LTBP4",0.000644982996288003,0.00033288236802762,0.00141043723554302
"LMO7",0.000642116834536043,0.00409638086518651,0.00188058298072402
"WISP2",0.000636393946585782,0.00051568725289588,0.000940291490362012
"RTN1",0.000606324284857715,0.00138951866336862,0.000940291490362012
"LINC01197",0.000597197258826234,0.000291185292533691,0.000470145745181006
"TIMP3",0.000587328518399448,0.00105972413835133,0.00235072872590503
"IL18R1",0.000560974717488299,0.00394619937446909,0.000940291490362012
"RNASET2",0.000530578855190876,0.00559818833494868,0.000940291490362012
"TMEM123",0.000484458467988149,5.03682214401926e-05,0.000470145745181006
"FMO2",0.000474774744290783,0.00094674404000954,0.00235072872590503
"SEPT7",0.000462518159781918,0.00103284982491878,0.00141043723554302
"PARK7",0.000433196053506183,9.77544861493633e-05,0.00141043723554302
"PSMB5",0.000426313840544965,0.000107648190583077,0.000940291490362012
"RPS8",0.000418087185996242,0.000784999310500778,0.00141043723554302
"PODN",0.000413017647732416,8.53877841299815e-05,0.000470145745181006
"CXCL14",0.000410078098340885,0.00111983314696775,0.00141043723554302
"EDNRA",0.000400069871475351,0.00064020413298539,0.000470145745181006
"ADIRF",0.000398513953669328,0.00218144638796012,0.000940291490362012
"RSRP1",0.000396959533570235,6.0381786353053e-05,0.000470145745181006
"VMP1",0.000392258231516934,0.000249407277079778,0.000470145745181006
"PRDX5",0.000388611789416221,0.000187897265351286,0.000470145745181006
"IER2",0.00038560162314294,0.000680324554614171,0.000470145745181006
"OSR1",0.000385304328317333,0.00104653574757093,0.00141043723554302
"PPP1R14A",0.000384245349670687,0.000166075995465,0.000940291490362012
"DCBLD1",0.000382709276481487,0.000102795676320297,0.000470145745181006
"SCRG1",0.000380225329538065,0.00315261202238513,0.00141043723554302
"FLNA",0.000376845329500201,0.00114341090501649,0.00329102021626704
"KHDRBS1",0.000376048299795614,0.000114603972025664,0.000940291490362012
"AC104407.1",0.00037497309599056,0.0025878293671721,0.000470145745181006
"RPL18",0.000371762311874005,0.00335097430742966,0.000940291490362012
"GXYLT2",0.000358516691632125,0.000115964263054495,0.000470145745181006
